Manufacturing,102083.31
Manufacturing,152394.38
Services Providers,120196.46
Manufacturing,663212.96
Services Providers,36974.12
Services Providers,41043.64
Services Providers,34594.36
Services Providers,53825.29
Wholesale & Trade,21382.16
Services Providers,440290
Manufacturing,193566.72
Construction,68043.87
Services Providers,274614.71
Services Providers,1211832
Services Providers,142857.12
Services Providers,111868
Construction,77984.4
Services Providers,24870
Manufacturing,796717.41
Services Providers,19476
Services Providers,188647
Services Providers,63000
Services Providers,613113.59
Construction,48103.25
Manufacturing,28571.44
Services Providers,250740.48
Services Providers,226836.64
Wholesale & Trade,88431.87
Wholesale & Trade,39091
Manufacturing,243202.43
Wholesale & Trade,29116
Wholesale & Trade,120203.56
Wholesale & Trade,80000
Services Providers,50000
Services Providers,67728.04
Wholesale & Trade,29603
Services Providers,71428.56
"Agriculture, Forestry, Fishing and Hunting",596667.02
Construction,119174
Services Providers,149472.95
Manufacturing,553556
Manufacturing,500000.04
Manufacturing,163294
Wholesale & Trade,625000
"Agriculture, Forestry, Fishing and Hunting",127252.4
"Agriculture, Forestry, Fishing and Hunting",498375
Services Providers,104892.25
Manufacturing,2022863
Manufacturing,69015.59
Services Providers,117000
Manufacturing,12957
Manufacturing,23596.34
Services Providers,175569
Services Providers,50674
Construction,146332
Services Providers,112950
Services Providers,8067
Wholesale & Trade,532153.86
Services Providers,146866
Manufacturing,230141.33
Manufacturing,234625
Construction,134500
Services Providers,537633
Construction,469449.62
Construction,57835
Wholesale & Trade,50000
"Agriculture, Forestry, Fishing and Hunting",4000000.01
Construction,48047.62
Services Providers,123396.48
Construction,247379
Wholesale & Trade,390837
Services Providers,540550.74
Services Providers,957064.41
Manufacturing,32282.91
Services Providers,105563
Wholesale & Trade,76442
Services Providers,45549.04
Manufacturing,1369594.81
Services Providers,267518.65
Services Providers,403675.76
Services Providers,84886.84
Manufacturing,561714.29
Manufacturing,107988.09
Services Providers,151200.31
Manufacturing,44035
Construction,42753
Services Providers,57698.66
Manufacturing,147879.52
Wholesale & Trade,342857.16
Manufacturing,238095.25
Wholesale & Trade,113188.86
Manufacturing,107142.87
Services Providers,462000
Wholesale & Trade,77658.91
Manufacturing,54508
Services Providers,99240.14
Services Providers,464302.98
Manufacturing,166640.88
Services Providers,58000
Manufacturing,74682.16
Manufacturing,1533333.33
Wholesale & Trade,92150.13
Wholesale & Trade,404056
Wholesale & Trade,196571
Manufacturing,259860.62
Wholesale & Trade,21693
Wholesale & Trade,39392
Manufacturing,333333.36
Construction,50000
Manufacturing,26786
Services Providers,173636.97
Services Providers,230945.35
Manufacturing,632859.26
Services Providers,106003
Services Providers,597488.96
Construction,533511
Services Providers,444285.72
"Agriculture, Forestry, Fishing and Hunting",747885.83
Services Providers,59652
Construction,1043240
Services Providers,173667
Wholesale & Trade,62539.33
Services Providers,1882261.87
Construction,23376
Construction,211134.29
Manufacturing,89562
Wholesale & Trade,32129
Manufacturing,76589
Manufacturing,18418
Construction,109055
Services Providers,107142.87
Services Providers,633778
Construction,96335
Services Providers,137592
Manufacturing,37544
Manufacturing,46000
Services Providers,94333.34
Manufacturing,16599
Manufacturing,132010.79
Manufacturing,33331
Construction,37913
Manufacturing,9892
Manufacturing,21526.86
Manufacturing,177267.34
Services Providers,223950.88
Manufacturing,33483
Services Providers,99302
Wholesale & Trade,43128
Services Providers,124042
Construction,175614.73
Manufacturing,156206.41
Services Providers,96666.67
Manufacturing,108995.66
Services Providers,25000
Construction,100000
Construction,314062
Manufacturing,144179
Services Providers,113013.92
Manufacturing,184010.4
Wholesale & Trade,29573
"Agriculture, Forestry, Fishing and Hunting",45813
Wholesale & Trade,28571.43
Wholesale & Trade,1883784
Services Providers,12329
Services Providers,65521
Services Providers,66666.65
Services Providers,426006
Services Providers,4419892
Manufacturing,279548.92
Wholesale & Trade,1110
Services Providers,196211
Construction,22446
Wholesale & Trade,75556
Services Providers,215695.6
Services Providers,108174
Services Providers,447390.39
Manufacturing,400000.05
Manufacturing,67578
Manufacturing,387426
Services Providers,1061276.57
Construction,45142.21
Construction,14576
Services Providers,135401
Manufacturing,27930
Manufacturing,35917
Services Providers,300517.83
Manufacturing,39714.05
Wholesale & Trade,41227
Services Providers,601132.74
Construction,851077
Services Providers,41779
Services Providers,199999.98
Construction,79041
Wholesale & Trade,25000
Services Providers,142857.12
Construction,50189
Manufacturing,223648.38
Construction,31607
Services Providers,200893.02
Services Providers,73853
Construction,113931.62
Construction,57142.88
Services Providers,2482500.04
Wholesale & Trade,171428.55
Services Providers,58094.28
Services Providers,927781
Services Providers,11910
Construction,11547
Construction,49805
Manufacturing,122724.86
Wholesale & Trade,104903.67
Manufacturing,128215
Services Providers,348996.06
"Agriculture, Forestry, Fishing and Hunting",999999.98
Manufacturing,444307.16
Manufacturing,37100.48
Construction,857142.85
Services Providers,88730
Wholesale & Trade,48078
Construction,63726
Services Providers,83333.32
Wholesale & Trade,57142.84
Manufacturing,88765
Construction,68733
Construction,269067.97
Wholesale & Trade,25000
Manufacturing,34318
Construction,33333.33
Manufacturing,181883
Services Providers,90788
Construction,272338
Services Providers,358051
Services Providers,150949
Services Providers,84085.02
Services Providers,71428.56
Manufacturing,233333.36
Services Providers,333333.33
Services Providers,142857.16
Construction,342222
Manufacturing,88571.43
Wholesale & Trade,133333.36
Services Providers,357752
